tree_id,bbox_x,bbox_y,bbox_w,bbox_h,area_px,max_height_m,mean_height_m,center_x_px,center_y_px
DINOV3_0144,33,2683,43,43,1360,inf,inf,54,2704
DINOV3_0145,509,2699,607,95,31008,inf,inf,812,2746
DINOV3_0146,1998,2699,19,15,240,inf,inf,2007,2706
DINOV3_0147,2926,2703,42,31,1074,6.4,2.88,2947,2718
DINOV3_0148,429,2723,23,11,160,inf,inf,440,2728
DINOV3_0149,309,2743,155,51,3760,inf,inf,386,2768
DINOV3_0150,1145,2747,27,7,128,inf,inf,1158,2750
DINOV3_0151,1209,2767,155,91,6992,inf,inf,1286,2812
DINOV3_0152,921,2799,87,27,1696,inf,inf,964,2812
DINOV3_0153,1366,2807,507,263,42640,inf,inf,1619,2938
DINOV3_0154,1,2811,207,259,16240,inf,inf,104,2940
DINOV3_0155,3195,2815,23,23,320,inf,inf,3206,2826
DINOV3_0156,1366,2843,27,7,144,inf,inf,1379,2846
DINOV3_0157,1197,2855,99,27,1232,inf,inf,1246,2868
DINOV3_0158,369,2931,647,140,26323,inf,inf,692,3001
DINOV3_0159,4059,2955,35,115,1168,inf,inf,4076,3012
DINOV3_0160,1366,3023,67,47,1536,inf,inf,1399,3046
DINOV3_0161,2034,3039,115,31,1824,inf,inf,2091,3054
DINOV3_0162,1482,3067,31,3,128,inf,inf,1497,3068
DINOV3_0163,1950,3067,59,3,240,inf,inf,1979,3068
DINOV3_0164,2182,3067,31,3,128,inf,inf,2197,3068
