tree_id,xmin,ymin,xmax,ymax,class,layer,edge_clipped,confidence,note,label_name_as_exported,width_m,height_m,area_m2
44,866.0,64.0,916.0,147.0,live,canopy,0,certain,,tree,3.8900000000000006,6.457400000000001,25.119286000000006
45,817.0,25.0,895.0,85.0,live,canopy,1,certain,,tree,6.0684000000000005,4.668,28.327291200000005
46,927.0,103.0,968.0,174.0,live,canopy,0,certain,,tree,3.1898000000000004,5.5238000000000005,17.619817240000003
47,910.0,29.0,972.0,97.0,live,canopy,0,certain,,tree,4.823600000000001,5.290400000000001,25.518773440000007
48,946.0,188.0,975.0,256.0,live,canopy,1,certain,,tree,2.2562,5.290400000000001,11.936200480000004
49,517.0,182.0,617.0,273.0,live,canopy,0,certain,,tree,7.780000000000001,7.0798000000000005,55.08084400000001
50,561.0,247.0,674.0,357.0,live,canopy,0,certain,,tree,8.791400000000001,8.558000000000002,75.23680120000003
51,519.0,364.0,596.0,452.0,live,canopy,0,certain,,tree,5.990600000000001,6.846400000000001,41.01404384000001
52,552.0,320.0,635.0,405.0,live,canopy,0,certain,,tree,6.457400000000001,6.613,42.702786200000006
53,495.0,52.0,612.0,162.0,live,canopy,0,certain,,tree,9.1026,8.558000000000002,77.90005080000002
54,361.0,27.0,476.0,148.0,live,canopy,0,certain,,tree,8.947000000000001,9.4138,84.2252686
55,424.0,107.0,539.0,212.0,live,canopy,0,certain,,tree,8.947000000000001,8.169,73.08804300000001
56,25.0,45.0,105.0,166.0,live,canopy,1,certain,,tree,6.224,9.4138,58.5914912
57,56.0,496.0,124.0,556.0,live,canopy,0,certain,,tree,5.290400000000001,4.668,24.695587200000006
58,25.0,642.0,139.0,749.0,live,canopy,1,certain,,tree,8.869200000000001,8.3246,73.83254232000002
59,25.0,845.0,110.0,957.0,live,canopy,1,certain,,tree,6.613,8.713600000000001,57.623036800000015
60,88.0,923.0,122.0,975.0,live,canopy,1,certain,,tree,2.6452000000000004,4.0456,10.701421120000003
61,134.0,925.0,168.0,964.0,live,canopy,0,certain,,tree,2.6452000000000004,3.0342000000000002,8.026065840000001
62,173.0,912.0,193.0,973.0,live,canopy,0,certain,,tree,1.556,4.745800000000001,7.384464800000002
63,206.0,903.0,256.0,969.0,live,canopy,0,certain,,tree,3.8900000000000006,5.1348,19.974372000000002
64,25.0,390.0,114.0,491.0,snag,canopy,1,certain,,snag,6.924200000000001,7.857800000000001,54.40897876000001
65,366.0,669.0,468.0,785.0,live,understory,0,certain,,understory,7.935600000000001,9.0248,71.61720288000001
66,467.0,520.0,512.0,564.0,live,understory,0,certain,,understory,3.5010000000000003,3.4232000000000005,11.984623200000003
67,453.0,485.0,482.0,525.0,live,understory,0,certain,,understory,2.2562,3.112,7.021294400000001
68,219.0,349.0,252.0,387.0,live,understory,0,certain,,understory,2.5674,2.9564000000000004,7.590261360000001
69,168.0,411.0,211.0,488.0,live,understory,0,certain,,understory,3.3454,5.990600000000001,20.040953240000004
70,194.0,386.0,234.0,450.0,live,understory,0,certain,,understory,3.112,4.9792000000000005,15.495270400000003
71,130.0,353.0,180.0,428.0,live,understory,0,certain,,understory,3.8900000000000006,5.835000000000001,22.698150000000005
72,46.0,337.0,74.0,398.0,live,understory,0,certain,,understory,2.1784000000000003,4.745800000000001,10.338250720000003
73,73.0,298.0,119.0,358.0,live,understory,0,certain,,understory,3.5788,4.668,16.7058384
74,188.0,323.0,227.0,361.0,live,understory,0,certain,,understory,3.0342000000000002,2.9564000000000004,8.970308880000001
75,181.0,369.0,208.0,400.0,live,understory,0,certain,,understory,2.1006,2.4118000000000004,5.066227080000001
76,166.0,266.0,205.0,312.0,live,understory,0,certain,,understory,3.0342000000000002,3.5788,10.85879496
77,363.0,597.0,399.0,654.0,live,understory,0,certain,,understory,2.8008,4.4346000000000005,12.420427680000003
78,408.0,495.0,446.0,555.0,live,understory,0,certain,,understory,2.9564000000000004,4.668,13.800475200000003
79,408.0,589.0,459.0,651.0,live,understory,0,certain,,understory,3.9678000000000004,4.823600000000001,19.139080080000006
80,770.0,338.0,800.0,380.0,live,understory,0,certain,,understory,2.334,3.2676000000000003,7.6265784000000005
81,767.0,310.0,799.0,334.0,live,understory,0,certain,,understory,2.4896000000000003,1.8672000000000002,4.648581120000001
82,726.0,338.0,759.0,392.0,live,canopy,0,certain,,tree,2.5674,4.2012,10.78616088
83,744.0,383.0,827.0,469.0,live,canopy,0,certain,,tree,6.457400000000001,6.6908,43.205171920000005
84,639.0,527.0,697.0,601.0,live,canopy,0,certain,,tree,4.5124,5.757200000000001,25.978789280000008
85,706.0,562.0,740.0,647.0,live,canopy,0,certain,,tree,2.6452000000000004,6.613,17.492707600000003
86,758.0,535.0,823.0,629.0,live,canopy,0,certain,,tree,5.057,7.313200000000001,36.982852400000006
87,718.0,464.0,759.0,529.0,live,canopy,0,certain,,tree,3.1898000000000004,5.057,16.130818600000005
88,778.0,477.0,830.0,527.0,live,canopy,0,certain,,tree,4.0456,3.8900000000000006,15.737384000000004
89,641.0,478.0,695.0,519.0,live,canopy,0,certain,,tree,4.2012,3.1898000000000004,13.400987760000001
90,507.0,482.0,532.0,518.0,live,understory,0,certain,,understory,1.9450000000000003,2.8008,5.447556000000001
91,26.0,248.0,89.0,323.0,live,canopy,1,certain,,tree,4.901400000000001,5.835000000000001,28.59966900000001
92,119.0,250.0,160.0,344.0,live,canopy,0,uncertain,,uncertain,3.1898000000000004,7.313200000000001,23.327645360000005
93,524.0,527.0,559.0,568.0,live,canopy,0,uncertain,,uncertain,2.7230000000000003,3.1898000000000004,8.685825400000002
94,570.0,528.0,609.0,566.0,live,canopy,0,uncertain,,uncertain,3.0342000000000002,2.9564000000000004,8.970308880000001
95,543.0,490.0,581.0,524.0,live,canopy,0,uncertain,,uncertain,2.9564000000000004,2.6452000000000004,7.820269280000002
96,479.0,230.0,514.0,310.0,live,canopy,0,uncertain,,uncertain,2.7230000000000003,6.224,16.947952
97,255.0,307.0,296.0,387.0,live,canopy,0,uncertain,,uncertain,3.1898000000000004,6.224,19.853315200000004
98,831.0,552.0,872.0,639.0,live,canopy,0,uncertain,,uncertain,3.1898000000000004,6.768600000000001,21.590480280000005
99,892.0,536.0,961.0,583.0,live,canopy,0,uncertain,,uncertain,5.368200000000001,3.6566000000000005,19.629360120000005
100,833.0,375.0,967.0,413.0,live,canopy,0,uncertain,,uncertain,10.4252,2.9564000000000004,30.821061280000006
101,452.0,369.0,508.0,466.0,snag,canopy,0,certain,,snag,4.356800000000001,7.546600000000001,32.879026880000005
102,902.0,809.0,973.0,962.0,live,canopy,0,certain,,tree,5.5238000000000005,11.903400000000001,65.75200092000001
103,642.0,92.0,679.0,141.0,live,canopy,0,certain,,tree,2.8786000000000005,3.8122000000000003,10.973798920000002
104,647.0,159.0,682.0,205.0,live,canopy,0,certain,,tree,2.7230000000000003,3.5788,9.745072400000002
105,692.0,155.0,725.0,191.0,live,canopy,0,certain,,tree,2.5674,2.8008,7.190773920000001
106,631.0,31.0,670.0,66.0,live,canopy,0,certain,,tree,3.0342000000000002,2.7230000000000003,8.262126600000002
107,687.0,32.0,729.0,148.0,live,canopy,0,uncertain,,uncertain,3.2676000000000003,9.0248,29.489436480000006
108,683.0,264.0,707.0,376.0,live,canopy,0,uncertain,,uncertain,1.8672000000000002,8.713600000000001,16.270033920000003
109,30.0,181.0,65.0,236.0,snag,canopy,0,certain,,snag,2.7230000000000003,4.279000000000001,11.651717000000003
110,150.0,35.0,190.0,78.0,snag,canopy,0,certain,,snag,3.112,3.3454,10.410884800000002
