xmin,ymin,xmax,ymax,score,support,inside_any_annotation_set1,inside_any_annotation_set5
526.6614,136.83847,557.9014,173.25339,0.46171215,15,True,True
24.838013,407.22034,75.17221,455.16882,0.46168998,16,False,True
559.0503,652.8745,680.0391,766.26355,0.46095264,16,True,True
825.8163,165.44855,873.20215,227.14148,0.45998204,15,True,True
677.01227,314.14508,713.86804,351.5349,0.459204,16,False,True
60.495422,568.65204,80.82843,589.4031,0.45775318,16,False,False
738.1843,375.0,762.1798,390.58472,0.455681,5,True,True
204.34302,403.2932,231.07513,431.83698,0.4548589,16,False,True
470.03925,385.07635,505.85638,422.16888,0.45120084,16,False,True
18.533875,877.17017,81.84674,942.59766,0.44578353,14,False,True
946.47485,82.58423,977.34717,114.78912,0.44367644,16,False,False
708.60394,644.03906,745.38904,683.5864,0.44081494,16,True,True
198.36646,374.40283,217.08258,393.77228,0.44008496,16,False,True
6.845276,718.49994,55.381042,768.6809,0.438652,16,False,False
910.88135,392.1994,929.88525,412.4043,0.43598303,16,False,True
900.8263,457.31897,919.83167,477.24597,0.43276256,15,True,True
910.60315,0.4602661,969.0934,59.955627,0.42555472,4,True,True
918.61,443.8874,941.27124,467.45325,0.42413998,16,True,True
729.7627,696.5021,757.63477,724.72,0.4223448,16,True,True
304.99207,809.0288,362.318,867.04785,0.4188011,9,False,False
407.27295,834.2781,433.05103,862.8041,0.41842207,16,False,False
525.0,375.0,540.5517,393.66174,0.41689244,1,True,True
588.78357,867.7318,665.3515,953.6476,0.41472125,9,True,True
459.72546,422.9381,499.04602,463.2423,0.41330937,13,False,True
29.912476,563.08704,53.440247,588.4077,0.41321778,16,False,False
838.251,808.2615,859.38806,830.0054,0.41237083,15,True,True
424.74744,154.61676,449.16565,180.06897,0.41117916,16,True,True
386.98547,558.5746,413.766,588.1279,0.41010296,15,False,False
825.0,487.11322,835.0685,510.33752,0.40929458,4,False,False
330.39172,502.5016,387.76392,566.31995,0.4057104,12,True,True
209.33646,858.7014,230.80469,880.6677,0.4038903,16,False,False
825.0,895.30115,842.1797,932.98267,0.40358028,12,False,False
11.334839,944.28345,43.954346,976.1454,0.4005538,16,False,False
915.7313,676.7545,980.98584,728.5548,0.3956975,4,False,True
825.5156,409.88263,852.5134,448.33795,0.39155418,13,False,False
196.2862,675.0,221.24554,684.2725,0.39105856,4,True,True
15.884094,495.35608,46.372498,525.0592,0.3824218,16,False,False
717.58875,28.880798,756.0526,69.7088,0.37969312,16,False,False
940.47766,517.28125,960.84216,538.8063,0.37936005,16,False,False
733.20996,349.3684,757.2561,375.25104,0.37837496,15,True,True
512.8108,539.0553,533.8091,560.2937,0.37515855,16,False,False
546.96185,755.8279,571.4208,774.5112,0.37499648,13,True,True
62.731995,961.87744,82.01703,981.845,0.37455976,16,False,False
90.8873,24.846008,110.44623,44.298767,0.3704012,15,False,False
19.271362,356.83704,37.76648,376.614,0.3698335,16,False,False
583.9811,98.16388,600.2117,115.40613,0.3669657,15,True,True
897.16846,424.1808,918.05945,445.10065,0.36438227,12,True,True
427.9314,430.49426,452.15356,455.25092,0.36364767,16,True,True
526.40204,62.22226,558.3099,97.56937,0.36272806,14,True,True
424.95636,456.81653,443.6845,474.81226,0.3617335,16,True,True
129.84247,72.508484,144.70258,88.246765,0.3607765,16,False,False
717.94824,477.45483,744.6334,504.04913,0.36069882,16,True,True
93.24957,711.4172,112.74042,733.95447,0.35913962,15,False,True
655.26733,601.6626,683.85266,631.1509,0.35274425,13,True,True
880.36865,75.0,922.7888,93.47211,0.3521103,3,True,True
825.4474,247.35889,834.35535,269.2271,0.35183844,4,True,True
915.76624,540.3967,924.96936,562.1566,0.34519884,4,False,True
545.98975,40.12683,560.8589,55.751404,0.34514287,16,False,False
215.88403,316.49072,235.47375,337.3686,0.34482637,16,False,False
776.676,322.81824,793.218,340.1173,0.34461898,16,False,True
20.561707,63.784027,100.476135,142.89243,0.34226504,15,False,True
688.2437,450.03027,705.6484,469.51776,0.34219635,10,True,True
884.22974,558.0957,900.0238,574.3422,0.33975148,13,False,True
954.8208,316.3714,988.10144,351.67847,0.33844656,16,False,False
726.1372,198.00787,754.8627,225.37549,0.3379965,16,False,False
745.996,767.1156,792.97925,822.5554,0.33726528,16,True,True
825.2561,451.53894,832.8696,473.6402,0.33498284,1,False,False
559.2709,247.55518,654.30884,345.70374,0.3314689,11,True,True
275.54974,592.99243,306.2848,626.28613,0.3309993,16,False,False
856.10034,571.7234,875.67285,593.4955,0.32878727,16,False,True
825.0,681.312,855.048,733.0947,0.3266897,5,True,True
759.6621,229.81555,780.5209,249.81677,0.3257053,13,True,True
936.44385,847.489,996.74207,912.4751,0.3252692,13,True,True
169.37238,954.69336,185.86978,971.5364,0.3238057,15,True,True
744.5753,325.7046,764.19885,346.6355,0.3230014,16,False,False
587.16113,943.15576,614.484,966.88635,0.32004842,16,True,True
56.23221,695.04126,85.3208,724.87537,0.31438464,8,False,True
148.59216,406.35754,172.15137,431.79645,0.31434035,11,False,True
843.8627,627.59576,864.5791,649.31146,0.3138715,10,False,True
938.4934,737.0834,959.3375,756.5675,0.31172684,14,False,False
508.0088,491.50415,531.7958,516.605,0.31153828,16,False,True
535.234,101.73947,574.0765,140.56589,0.31099167,12,True,True
233.19672,525.8503,259.31537,551.6297,0.30900335,10,False,False
41.51776,535.1621,66.63422,559.99365,0.3088126,16,False,False
554.4039,164.249,578.1164,175.0,0.30822483,2,False,False
726.6603,443.6922,748.89746,465.35376,0.30654147,10,False,False
716.8123,958.06494,741.96313,983.3447,0.30551007,16,False,True
763.5897,675.1344,799.7118,701.4278,0.30357048,4,True,True
62.800964,732.53125,84.68701,754.6362,0.30255786,3,False,True
191.67007,513.9038,211.51437,534.6492,0.30059606,15,False,False
550.3392,919.20264,577.9071,947.3281,0.30023736,12,False,False
530.0019,520.8532,550.57806,540.939,0.30003333,16,False,True
763.36926,459.294,784.52344,481.46594,0.2991282,15,False,False
928.5089,560.459,947.96277,581.81665,0.29855686,15,False,True
825.0,734.93384,864.66174,795.28735,0.29834098,8,True,True
167.85715,522.9526,184.38797,540.8685,0.29774836,16,False,False
841.01746,12.932068,883.49097,56.47815,0.2974608,15,False,True
286.01666,875.82776,311.28003,898.61694,0.29429808,1,True,True
582.51807,765.69763,611.7467,774.95996,0.29320893,3,True,True
111.0455,875.6106,131.48013,897.4863,0.29308143,13,False,False
99.84766,135.91708,122.1745,156.775,0.28860995,11,True,True
525.00555,20.89096,533.485,47.757477,0.28775877,4,False,False
644.7824,461.09668,674.29175,474.71356,0.28632218,3,True,True
872.7722,264.49707,914.59485,303.3769,0.2860168,13,True,True
453.55212,376.9881,476.20374,397.99622,0.2855829,12,False,True
44.429108,609.5538,63.25482,629.93567,0.28470182,11,False,False
115.24768,86.52048,133.40967,104.683685,0.28239244,14,False,False
364.61517,574.96497,381.09937,590.5139,0.28159422,12,False,False
525.06525,743.2621,534.91833,761.21924,0.28148863,2,True,True
866.406,318.95715,922.9885,381.48425,0.28120452,4,True,True
225.0,623.4795,244.02472,667.3585,0.2799479,4,True,True
685.87244,211.96118,701.57104,228.00574,0.27845556,14,True,True
225.14825,750.66394,233.12,773.5117,0.27780962,1,False,False
403.32544,734.8496,444.4131,774.43396,0.27739462,5,False,True
19.261505,640.6455,40.101746,661.8715,0.2719516,16,False,True
760.62305,494.9021,784.64417,520.46094,0.26979998,4,False,False
261.42566,787.21875,285.6355,812.6664,0.26975083,13,True,True
689.41284,269.71228,713.79486,296.23242,0.26962897,10,False,True
353.9071,446.96204,385.14148,479.27014,0.2677683,12,True,True
170.53845,554.4043,197.33365,583.0605,0.26737833,12,False,False
617.7794,77.85904,625.0,99.26831,0.26451364,1,False,False
555.0179,76.02951,575.29535,96.0611,0.26338226,3,True,True
302.81836,173.53534,325.0,216.17456,0.2622007,6,True,True
529.80493,580.49805,565.5139,615.1036,0.2618929,13,True,True
461.5844,675.0,499.93427,690.72845,0.26134914,4,True,True
154.61243,75.0,177.58984,83.06979,0.26070273,2,False,False
541.6155,331.97925,557.45514,348.3413,0.2595281,4,False,False
525.2052,657.57043,532.56714,677.3745,0.25919005,3,True,True
668.8758,351.55725,692.21106,375.80518,0.25918657,13,False,False
770.2571,356.91974,787.5314,377.0562,0.25692457,8,False,True
206.7243,958.7687,226.42493,980.1045,0.2562319,15,False,False
816.52637,281.89813,847.246,315.16174,0.2560309,16,False,False
56.85437,157.70062,79.52582,181.27023,0.25596488,15,False,False
167.17148,380.5905,185.80551,400.18463,0.25559035,5,False,True
184.06995,609.8191,209.8786,633.46716,0.25511277,5,True,True
825.8651,928.32385,847.3208,951.0051,0.25190458,15,False,False
709.7816,541.2817,736.6068,569.2459,0.25133425,8,False,False
867.16907,761.24133,908.19446,804.7258,0.25089175,12,False,False
96.58295,568.4143,115.59985,588.00543,0.25050092,5,True,True
643.12634,353.9295,668.0654,378.09723,0.25049302,8,False,False
729.9503,239.75037,744.8435,254.09283,0.25007042,16,True,True
525.3396,90.34537,533.9031,113.700714,0.24882962,3,True,True
588.1881,127.55124,607.3885,148.3151,0.2467464,4,True,True
651.7141,109.23929,667.8774,126.44473,0.24642411,7,True,True
764.6991,165.11716,811.77136,215.40765,0.24616902,16,True,True
640.54004,375.0,663.2883,381.43494,0.2460554,2,False,False
168.12756,487.20135,190.99176,512.1708,0.24580696,13,False,False
380.12555,158.24283,418.08496,197.40933,0.24552946,8,False,False
899.3331,873.4242,924.7063,904.87195,0.24436828,9,True,True
307.8612,334.49548,325.0,374.74005,0.24383475,1,True,True
616.8714,399.21466,625.0,423.3404,0.24336834,1,False,False
431.57684,357.3822,456.19916,381.4867,0.2433442,9,False,False
215.5741,486.06244,235.2616,507.87897,0.24295077,16,False,False
391.32263,467.0652,418.6836,475.0,0.242707,1,False,False
501.45435,569.96643,526.6157,598.35986,0.23996069,11,True,True
925.9625,770.82886,987.0613,832.17773,0.2344909,14,False,False
279.14484,472.14514,340.6358,537.68896,0.23162112,6,True,True
226.763,75.6279,253.0028,96.69693,0.23001105,2,False,True
430.2624,75.0,459.32196,83.97565,0.22621049,4,True,True
402.1278,505.1377,422.6112,525.4629,0.22268817,12,False,True
916.0066,903.8657,925.0,934.1521,0.22125377,3,True,True
879.7871,835.86597,925.64246,883.9684,0.21861912,14,True,True
561.78723,598.1533,620.5742,663.64636,0.21778518,1,True,True
46.46936,356.37427,73.776245,388.63672,0.2164095,8,False,True
908.7549,40.90329,925.0,76.48013,0.2146965,2,True,True
660.1422,871.3285,692.7549,906.896,0.21269768,4,True,True
503.79907,714.2345,554.8198,768.02625,0.21206091,6,True,True
759.5344,709.9892,779.62244,730.38086,0.21194077,5,True,True
454.8095,119.719696,475.24353,140.65125,0.21063657,8,True,True
504.39966,121.032166,531.00305,147.52417,0.20747119,7,True,True
712.67035,751.5653,737.27246,777.8529,0.20746389,6,True,True
790.53503,780.7849,835.3629,830.1461,0.20244284,15,True,True
958.4453,520.492,988.23865,550.07666,0.20243558,8,False,False
552.1897,466.56677,578.7768,475.0,0.20235272,1,False,False
471.04858,134.08813,498.6172,161.05865,0.20023666,4,True,True
916.85095,942.48474,925.0,976.3799,0.198012,4,True,True
783.5842,715.0392,803.7682,736.28174,0.1976954,1,True,True
744.33203,737.22095,769.9691,763.1885,0.19750655,8,True,True
781.86707,945.4641,805.083,969.88416,0.19556727,3,False,True
894.0657,716.65186,923.355,755.0957,0.1868039,4,False,True
95.31549,732.02954,148.93665,788.4331,0.18606824,6,False,False
291.82965,423.4773,358.72406,473.34497,0.17771524,1,True,True
392.21533,27.846802,452.85278,88.59375,0.14906365,4,True,True
752.0272,838.084,808.17676,893.0596,0.1356105,7,False,True
165.79059,118.11124,221.06268,170.22708,0.13044305,3,False,False
537.80646,776.0062,611.2235,848.54517,0.12710845,13,False,False
283.81958,740.7578,341.48413,798.9081,0.11498381,2,True,True
818.2092,81.52658,870.7272,134.19647,0.11092794,2,False,False
757.2529,619.94775,811.44507,674.36945,0.10656582,1,False,False
782.8369,475.53577,834.40405,528.9705,0.106375515,3,True,True
209.16391,759.95544,262.2771,813.324,0.1022762,4,True,True
