tree_id,xmin,ymin,xmax,ymax,class,layer,edge_clipped,confidence,note,label_name_as_exported,width_m,height_m,area_m2,n_detections_contained
20,857.0,420.0,905.0,470.0,live,canopy,0,certain,,tree,3.7344,3.890000000000001,14.526816000000004,1
21,756.0,123.0,886.0,243.0,live,canopy,0,certain,,tree,10.114,9.336,94.424304,4
22,673.0,203.0,739.0,254.0,live,canopy,0,certain,,tree,5.1348,3.9678,20.373859440000004,3
23,714.0,237.0,773.0,304.0,live,canopy,0,certain,,tree,4.5902,5.2126,23.92687652,3
24,778.0,220.0,833.0,277.0,live,canopy,0,certain,,tree,4.279000000000001,4.4346000000000005,18.97565340000001,2
25,486.0,318.0,545.0,391.0,live,canopy,0,certain,,tree,4.5902,5.6794,26.06958188,2
26,577.0,429.0,629.0,497.0,live,canopy,0,certain,,tree,4.0456,5.290400000000001,21.402842240000005,1
27,640.0,388.0,700.0,470.0,live,canopy,0,certain,,tree,4.668,6.379600000000001,29.779972800000007,3
28,308.0,303.0,443.0,471.0,live,canopy,0,certain,,tree,10.503000000000002,13.0704,137.27841120000005,6
29,251.0,393.0,400.0,549.0,live,canopy,0,certain,,tree,11.592200000000002,12.1368,140.69221296000003,5
34,272.0,866.0,343.0,953.0,live,canopy,0,certain,,tree,5.5238000000000005,6.768600000000001,37.38839268000001,2
35,356.0,915.0,427.0,967.0,live,canopy,0,certain,,tree,5.5238000000000005,4.0456,22.347085280000005,2
36,719.0,652.0,880.0,842.0,live,canopy,0,certain,,tree,12.525800000000002,14.782000000000002,185.15637560000005,12
38,858.0,886.0,904.0,948.0,live,canopy,0,certain,,tree,3.5788,4.823600000000001,17.262699680000004,1
39,896.0,474.0,953.0,526.0,live,canopy,0,certain,,tree,4.4346000000000005,4.0456,17.940617760000002,2
40,900.0,424.0,957.0,472.0,live,canopy,0,certain,,tree,4.4346000000000005,3.7344,16.560570240000004,3
41,832.0,257.0,953.0,364.0,live,canopy,0,certain,,tree,9.4138,8.3246,78.36611948000001,2
42,885.0,142.0,931.0,222.0,live,canopy,0,certain,,tree,3.5788,6.224,22.2744512,2
43,736.0,47.0,819.0,134.0,live,canopy,0,certain,,tree,6.457400000000001,6.768600000000001,43.70755764000001,1
44,866.0,64.0,916.0,147.0,live,canopy,0,certain,,tree,3.890000000000001,6.457400000000001,25.11928600000001,2
46,927.0,103.0,968.0,174.0,live,canopy,0,certain,,tree,3.1898000000000004,5.5238000000000005,17.619817240000003,1
47,910.0,29.0,972.0,97.0,live,canopy,0,certain,,tree,4.823600000000001,5.290400000000001,25.518773440000007,2
49,517.0,182.0,617.0,273.0,live,canopy,0,certain,,tree,7.780000000000001,7.0798000000000005,55.08084400000001,0
50,561.0,247.0,674.0,357.0,live,canopy,0,certain,,tree,8.791400000000001,8.558000000000002,75.23680120000003,1
51,519.0,364.0,596.0,452.0,live,canopy,0,certain,,tree,5.990600000000001,6.846400000000001,41.01404384000001,2
52,552.0,320.0,635.0,405.0,live,canopy,0,certain,,tree,6.457400000000001,6.613,42.702786200000006,1
53,495.0,52.0,612.0,162.0,live,canopy,0,certain,,tree,9.1026,8.558000000000002,77.90005080000002,8
54,361.0,27.0,476.0,148.0,live,canopy,0,certain,,tree,8.947000000000001,9.4138,84.2252686,4
55,424.0,107.0,539.0,212.0,live,canopy,0,certain,,tree,8.947000000000001,8.169,73.08804300000001,6
57,56.0,496.0,124.0,556.0,live,canopy,0,certain,,tree,5.290400000000001,4.668,24.69558720000001,1
61,134.0,925.0,168.0,964.0,live,canopy,0,certain,,tree,2.6452000000000004,3.0342,8.026065840000001,0
62,173.0,912.0,193.0,973.0,live,canopy,0,certain,,tree,1.556,4.745800000000001,7.384464800000002,1
63,206.0,903.0,256.0,969.0,live,canopy,0,certain,,tree,3.890000000000001,5.1348,19.974372,0
82,726.0,338.0,759.0,392.0,live,canopy,0,certain,,tree,2.5674,4.2012,10.78616088,2
83,744.0,383.0,827.0,469.0,live,canopy,0,certain,,tree,6.457400000000001,6.6908,43.205171920000005,2
84,639.0,527.0,697.0,601.0,live,canopy,0,certain,,tree,4.5124,5.757200000000001,25.978789280000008,1
85,706.0,562.0,740.0,647.0,live,canopy,0,certain,,tree,2.6452000000000004,6.613,17.492707600000003,1
86,758.0,535.0,823.0,629.0,live,canopy,0,certain,,tree,5.057,7.313200000000001,36.982852400000006,1
87,718.0,464.0,759.0,529.0,live,canopy,0,certain,,tree,3.1898000000000004,5.057,16.130818600000005,2
88,778.0,477.0,830.0,527.0,live,canopy,0,certain,,tree,4.0456,3.890000000000001,15.737384000000004,1
89,641.0,478.0,695.0,519.0,live,canopy,0,certain,,tree,4.2012,3.1898000000000004,13.40098776,1
102,902.0,809.0,973.0,962.0,live,canopy,0,certain,,tree,5.5238000000000005,11.9034,65.75200092000001,5
103,642.0,92.0,679.0,141.0,live,canopy,0,certain,,tree,2.8786000000000005,3.8122,10.973798920000002,1
104,647.0,159.0,682.0,205.0,live,canopy,0,certain,,tree,2.7230000000000003,3.5788,9.745072400000002,0
105,692.0,155.0,725.0,191.0,live,canopy,0,certain,,tree,2.5674,2.8008,7.190773920000001,0
106,631.0,31.0,670.0,66.0,live,canopy,0,certain,,tree,3.0342,2.7230000000000003,8.262126600000002,0
